Company,Year,Current Ratio,Net Profit Margin,ROA,debt_equity_ratio,ROE
AAPL,2022,0.88,25.31,28.29,2.3695,196.96
AAPL,2021,1.07,25.88,26.97,1.9768,150.07
AAPL,2020,1.36,20.91,17.73,1.7208,87.87
AAPL,2019,1.54,21.24,16.32,1.194,61.06
AAPL,2018,1.13,22.41,16.28,1.0685,55.56
AAPL,2017,1.28,21.09,12.88,0.863,36.07
AAPL,2016,1.35,21.19,14.20,0.6786,35.62
AAPL,2015,1.11,22.85,18.39,0.539,44.74
AAPL,2014,1.08,21.61,17.04,0.3164,35.42
AAPL,2013,1.68,21.67,17.89,0.1373,29.98
AAPL,2012,1.50,26.67,23.70,0,35.30
AAPL,2011,1.61,23.95,22.28,0,33.83
AAPL,2010,2.01,21.48,18.64,0,29.32
AAPL,2009,2.74,19.19,17.34,0,26.03
MSFT,2023,1.77,34.15,17.56,0.2291,35.09
MSFT,2022,1.78,36.69,19.94,0.2989,43.68
MSFT,2021,2.08,36.45,18.36,0.4095,43.15
MSFT,2020,2.52,30.96,14.70,0.5353,37.43
MSFT,2019,2.53,31.18,13.69,0.7053,38.35
MSFT,2018,2.90,15.02,6.40,0.9217,20.03
MSFT,2017,2.92,26.39,10.18,0.9827,29.06
MSFT,2016,2.35,22.53,10.62,0.7425,28.53
MSFT,2015,2.47,13.03,6.99,0.4407,15.23
MSFT,2014,2.50,25.42,12.81,0.2522,24.59
MSFT,2013,2.71,28.08,15.35,0.1976,27.69
MSFT,2012,2.60,23.03,14.00,0.18,25.58
MSFT,2011,2.60,33.10,21.30,0.2088,40.56
MSFT,2010,2.13,30.02,21.79,0.1286,40.63
MSFT,2009,1.82,24.93,18.71,0.1453,36.83
GOOG,2022,2.38,21.20,16.42,0.0574,23.41
GOOG,2021,2.93,29.51,21.16,0.0589,30.22
GOOG,2020,3.07,22.06,12.60,0.0626,18.09
GOOG,2019,3.37,21.22,12.45,0.0226,17.05
GOOG,2018,3.92,22.46,13.20,0.0226,17.30
GOOG,2017,5.14,11.42,6.42,0.026,8.30
GOOG,2016,6.29,21.58,11.63,0.0283,14.01
GOOG,2015,4.67,21.10,11.09,0.0434,13.59
GOOG,2014,4.69,21.42,10.54,0.0504,13.11
GOOG,2013,4.58,22.93,11.86,0.0601,15.07
GOOG,2012,4.22,23.32,12.32,0.0772,16.11
GOOG,2011,5.92,25.69,13.42,0.0723,16.75
GOOG,2010,4.16,29.01,14.70,0.0749,0.07
GOOG,2009,10.62,27.57,16.10,0,0.00
